boundary_after_previous_folio,boundary_before_folio,previous_section,current_section,adjacent_distance,conventional_section_boundary,window_3_distance,window_5_distance,window_7_distance,combined_change_point_score
f84v,f85r1,biological_balneological,unknown,5.34323279704418,True,2.6021151200056845,2.294634158396685,2.2021325529008196,3.1105286570868422
f85r1,f85r2,unknown,cosmological,2.0963158827837782,True,1.9576766401647987,1.6485191348667865,2.2903880087761355,1.9982249166478747
f85r2,f86v3,cosmological,cosmological,1.5468558165589206,False,1.0242406866228615,1.5858350546933007,2.4134275499977065,1.6425897769681974
f86v3,f86v4,cosmological,cosmological,1.5966165595764539,False,1.6461071711791546,2.1618755200145996,2.4646412783210407,1.9673101322728122
f86v4,f86v5,cosmological,unknown,3.354525987606412,True,1.6842960280877126,2.320644700624431,2.3991610904445726,2.439656951690782
f86v5,f86v6,unknown,unknown,2.632625667853619,False,2.58758880842206,2.3713590594291696,2.6965496551217365,2.5720307977066463
f86v6,f87r,unknown,herbal,4.2243863828310575,True,3.5975009541498966,2.886279491447452,2.7967028372954226,3.376217416430957
f87r,f87v,herbal,herbal,1.9647600984414797,False,2.394269720255834,1.9355585010269993,1.9374756571690992,2.058015994223353
f87v,f88r,herbal,pharmaceutical,3.664873438390158,True,0.9290914502752781,0.9761458203681057,1.5814590355876523,1.7878924361552986
f88r,f88v,pharmaceutical,pharmaceutical,3.9498373924789467,False,1.9358682186495084,1.1691866403200024,1.4427976425615356,2.124422473502498
f88v,f89r1,pharmaceutical,pharmaceutical,1.858546456988922,False,1.829117455598569,1.0750490806093271,1.2762967092967374,1.5097524256233887
f89r1,f89r2,pharmaceutical,pharmaceutical,1.707869922143384,False,0.9578367949714106,1.126022740030885,1.3715760134649146,1.2908263676526486
f89r2,f89v1,pharmaceutical,pharmaceutical,2.068209872604468,False,1.84304370894082,1.2766528390553151,1.298416980081122,1.6215808501704312
f89v1,f89v2,pharmaceutical,pharmaceutical,3.7303814446849493,False,1.8398406471428934,1.5885960894769522,0.9569767037190388,2.0289487212559583
f89v2,f90r1,pharmaceutical,herbal,3.0953285739691507,True,2.485918072023257,1.6935277360029786,1.5509521901611067,2.2064316430391235
f90r1,f90r2,herbal,herbal,4.688853076142954,False,2.355473620856707,1.5969101050219086,1.7910268862343064,2.608065922063969
f90r2,f90v1,herbal,herbal,3.3100884555984242,False,0.9195813055269801,0.754739502442386,0.9465670690420954,1.4827440831524714
f90v1,f90v2,herbal,herbal,1.8833248348336296,False,1.3645635628678796,0.8155156379203015,0.9581674889251173,1.255392881136732
f90v2,f93r,herbal,herbal,3.266671624356766,False,1.565179928389594,1.8082875023832146,1.4487174812368566,2.022214134091608
f93r,f93v,herbal,herbal,2.821698373379355,False,2.047829271856528,1.6203895899348968,2.0764567608988513,2.1415934990174077
f93v,f94r,herbal,herbal,2.5662853153813012,False,2.3815998273960592,1.3534270865213205,1.8639035861631472,2.0413039538654574
f94r,f94v,herbal,herbal,2.701449305357891,False,2.038474500553483,2.215358735358078,1.4866754731733656,2.1104895036107045
f94v,f95r1,herbal,herbal,1.4552962202442603,False,1.2071820329103353,1.3615774288624365,0.8731713583086438,1.224306760081419
f95r1,f95r2,herbal,herbal,5.090471345191574,False,1.7721003862119804,1.197849336046823,0.6879461504553983,2.187091804476444
f95r2,f95v1,herbal,herbal,4.318174151979139,False,1.6586494356633439,1.156786653224118,0.9506290313854411,2.0210598180630104
f95v1,f95v2,herbal,herbal,2.6727632320670724,False,1.8867665445659143,1.1399563203700886,0.8863710386914276,1.6464642839236256
f95v2,f96r,herbal,herbal,4.41503108176397,False,2.2091771234935256,1.8526770442379756,1.5405412930605178,2.504356635638997
f96r,f96v,herbal,herbal,2.0109830729349736,False,1.433528382681418,1.3357043488000386,1.7491172186639,1.6323332557700825
f96v,f99r,herbal,pharmaceutical,4.822584908940034,True,2.2173362690123253,2.0391708687637977,2.012499463002994,2.772897877429788
f99r,f99v,pharmaceutical,unknown,1.5622969266559057,True,1.721905785635248,2.11156643402085,1.654918080311831,1.7626718066559588
f99v,f100r,unknown,pharmaceutical,2.1143643383599424,True,1.7350316425621006,1.6656533200564687,1.5579112213758681,1.768240130588595
f100r,f100v,pharmaceutical,pharmaceutical,1.6955510005700682,False,1.851151629710084,1.604524769142565,1.943454316410834,1.773670428958388
